iter	MultiClass
0	4.139112218
1	3.919188843
2	3.716760052
3	3.545922962
4	3.482997322
5	3.368943503
6	3.246707193
7	3.136666657
8	3.034221132
9	2.937084796
10	2.853709862
11	2.764404651
12	2.680607698
13	2.598883079
14	2.542964473
15	2.470545065
16	2.416206433
17	2.359385497
18	2.314751986
19	2.253949465
20	2.212770744
21	2.151619903
22	2.104421879
23	2.052113238
24	2.02190777
25	1.984849097
26	1.937874153
27	1.891625863
28	1.847827767
29	1.820989382
30	1.774097258
31	1.735890675
32	1.707012607
33	1.679290667
34	1.648584024
35	1.610639797
36	1.585872899
37	1.565543653
38	1.537810226
39	1.523536055
40	1.49759596
41	1.46106543
42	1.431229227
43	1.403710168
44	1.378277657
45	1.350311839
46	1.337661693
47	1.307903416
48	1.277209036
49	1.260711776
50	1.237663114
51	1.211818925
52	1.190382193
53	1.176087695
54	1.156559376
55	1.140508883
56	1.126276312
57	1.109901878
58	1.089713207
59	1.068571632
60	1.057173503
61	1.045061595
62	1.026374404
63	1.006142649
64	0.9909289806
65	0.9746435039
66	0.9608603155
67	0.9519760268
68	0.9359451349
69	0.9196082218
70	0.9051436146
71	0.8887214615
72	0.877483753
73	0.8680266838
74	0.860666717
75	0.8462787973
76	0.8422837583
77	0.8357711646
78	0.8287827747
79	0.8186940617
80	0.8091442301
81	0.8011408712
82	0.786534181
83	0.7810096543
84	0.7688876663
85	0.7582914232
86	0.7491524851
87	0.7410599852
88	0.7287554755
89	0.7201715161
90	0.7148494703
91	0.7088067993
92	0.6998173077
93	0.6913849422
94	0.6870251577
95	0.6815979177
96	0.6745981311
97	0.6665903813
98	0.6608387416
99	0.6545466147
