iter	Passed	Remaining
0	28	2779
1	52	2548
2	76	2483
3	101	2429
4	107	2041
5	131	2054
6	156	2074
7	180	2078
8	204	2064
9	228	2054
10	253	2047
11	275	2023
12	300	2014
13	325	1999
14	349	1981
15	373	1961
16	397	1942
17	420	1916
18	443	1892
19	467	1869
20	491	1848
21	516	1830
22	539	1806
23	564	1787
24	588	1764
25	612	1741
26	636	1721
27	662	1702
28	685	1679
29	709	1654
30	733	1632
31	757	1610
32	782	1588
33	806	1565
34	830	1542
35	856	1522
36	879	1496
37	901	1470
38	924	1445
39	948	1423
40	973	1400
41	996	1376
42	1021	1354
43	1046	1331
44	1072	1310
45	1097	1287
46	1120	1263
47	1143	1238
48	1168	1215
49	1191	1191
50	1214	1166
51	1239	1144
52	1263	1120
53	1286	1095
54	1310	1072
55	1333	1047
56	1357	1024
57	1381	1000
58	1405	976
59	1429	953
60	1455	930
61	1479	906
62	1503	883
63	1528	859
64	1553	836
65	1578	812
66	1601	788
67	1625	764
68	1648	740
69	1673	717
70	1697	693
71	1721	669
72	1745	645
73	1769	621
74	1792	597
75	1816	573
76	1841	550
77	1864	525
78	1887	501
79	1909	477
80	1932	453
81	1955	429
82	1978	405
83	2002	381
84	2027	357
85	2053	334
86	2076	310
87	2099	286
88	2122	262
89	2146	238
90	2168	214
91	2192	190
92	2215	166
93	2238	142
94	2262	119
95	2285	95
96	2309	71
97	2334	47
98	2359	23
99	2382	0
